종목코드,종목명,종가,대비,등락률,상장시가총액
24090,디씨엠,12340,0,0,140676
25000,KPX케미칼,51200,-200,-0.39,247808
25820,이구산업,4465,-25,-0.56,149319
25860,남해화학,6810,-210,-2.99,338313
27970,한국제지,797,-4,-0.5,151572
28100,동아지질,15120,-280,-1.82,202449
29460,케이씨,21300,-900,-4.05,281826
30210,다올투자증권,3435,-100,-2.83,209230
31430,신세계인터내셔날,10120,-130,-1.27,357671
31440,신세계푸드,39850,-1150,-2.8,154318
33180,KH 필룩스,5310,0,0,138166
33270,유나이티드제약,20400,-200,-0.97,333210
33530,SJG세종,6180,30,0.49,171934
33920,무학,7790,30,0.39,222015
34830,한국토지신탁,1241,30,2.48,313339
35000,HS애드,8730,170,1.99,144633
35150,백산,14650,-410,-2.72,307679
35510,신세계 I&C,14610,-400,-2.66,204261
36420,콘텐트리중앙,10010,80,0.81,192816
37560,LG헬로비전,2875,-70,-2.38,222660
37710,광주신세계,29900,0,0,237920
39570,HDC랩스,8480,0,0,220120
44450,KSS해운,9410,-90,-0.95,217238
44820,코스맥스비티아이,19210,140,0.73,184491
53210,스카이라이프,5210,-20,-0.38,247595
53690,한미글로벌,20000,-400,-1.96,219151
58430,포스코스틸리온,36200,-1400,-3.72,217200
60980,HL홀딩스,39650,200,0.51,365314
68290,삼성출판사,16110,-290,-1.77,161100
69460,대호에이엘,1737,6,0.35,146049
70960,모나용평,4055,-120,-2.87,195181
71840,롯데하이마트,8310,-40,-0.48,196180
78000,텔코웨어,14960,550,3.82,138232
79430,현대리바트,7090,-160,-2.21,145595
81000,일진다이아,12260,-620,-4.81,174128
83420,그린케미칼,7020,-130,-1.82,168480
84010,대한제강,15180,-480,-3.07,355431
84680,이월드,1445,-24,-1.63,204910
84690,대상홀딩스,9350,-150,-1.58,338587
89470,HDC현대EP,3995,-40,-0.99,127441
90350,노루페인트,9380,0,0,187600
92200,디아이씨,4405,-15,-0.34,171304
92220,KEC,682,-15,-2.15,136920
92230,KPX홀딩스,66500,-300,-0.45,280939
92790,넥스틸,12600,-530,-4.04,327625
93230,이아이디,1392,0,0,354103
94280,효성ITX,12770,-90,-0.7,147598
95570,AJ네트웍스,4300,-60,-1.38,194587
4080,신흥,13850,-40,-0.29,131575
4090,한국석유,13830,10,0.07,175560
4140,동방,2980,-105,-3.4,142956
4150,한솔홀딩스,3075,-80,-2.54,126157
4250,NPC,4030,-40,-0.98,147982
4360,세방,13690,-280,-2,261693
4380,삼익THK,9960,0,0,209160
4430,송원산업,10110,-240,-2.32,242640
4560,현대비앤지스틸,11390,-180,-1.56,171748
4710,한솔테크닉스,5280,-40,-0.75,169540
4970,신라교역,9030,-120,-1.31,144480
4980,성신양회,10150,-310,-2.96,248838
5010,휴스틸,3980,-70,-1.73,223629
5090,SGC에너지,22750,-200,-0.87,327812
5430,한국공항,63800,-100,-0.16,202013
5500,삼진제약,18890,-90,-0.47,262571
5680,삼영전자,10200,-180,-1.73,204000
5720,넥센,5820,60,1.04,311626
5800,신영와코루,14220,-150,-1.04,127980
5950,이수화학,5430,-70,-1.27,142777
5960,동부건설,5500,130,2.42,126207
6060,화승인더,4180,-90,-2.11,231238
6110,삼아알미늄,21950,-400,-1.79,322927
6340,대원전선,2785,-45,-1.59,208817
6390,한일현대시멘트,18530,-310,-1.65,358142
6840,AK홀딩스,11220,-360,-3.11,148638
7110,일신석재,2060,-55,-2.6,159561
7160,사조산업,53100,1200,2.31,265500
7210,벽산,2100,-45,-2.1,140406
7460,에이프로젠,675,-9,-1.32,215505
7540,샘표,50700,1500,3.05,145803
7570,일양약품,12340,-140,-1.12,235517
7690,국도화학,35850,-400,-1.1,332001
7810,코리아써키트,12160,-380,-3.03,287228
7860,서연,9080,-90,-0.98,213197
8040,사조동아원,1113,-10,-0.89,157094
8060,대덕,7835,-85,-1.07,265529
8110,대동전자,15040,0,0,157776
8350,남선알미늄,1133,-15,-1.31,146247
8490,서흥,28850,-950,-3.19,333769
8970,동양철관,1415,0,0,226120
9070,KCTC,5510,-70,-1.25,165300
9160,SIMPAC,4205,-35,-0.83,275131
9270,신원,1678,-61,-3.51,185630
9290,광동제약,6000,-70,-1.15,314525
9470,삼화전기,23950,-600,-2.44,158401
9580,무림P&P,2610,-10,-0.38,162781
9680,모토닉,10430,120,1.16,292562
10100,한국무브넥스,4205,-125,-2.89,128044
10580,에스엠벡셀,1476,-25,-1.67,164208
10690,화신,8725,15,0.17,304681
10820,퍼스텍,4320,130,3.1,210695
11000,진원생명과학,2225,-30,-1.33,188941
11280,태림포장,1984,-9,-0.45,140479
11330,유니켐,1597,-42,-2.56,148647
11500,한농화성,13980,-400,-2.78,218606
11760,현대코퍼레이션,21550,-650,-2.93,285084
11930,신성이엔지,1521,-40,-2.56,313095
12030,DB,1552,176,12.79,312222
12320,경동인베스트,57300,-900,-1.55,135516
12610,경인양행,3080,-60,-1.91,128178
13580,계룡건설,19570,-270,-1.36,174778
13890,지누스,16430,-380,-2.26,365643
14580,태경비케이,4835,-5,-0.1,133364
0030R0,대신밸류리츠,4325,-25,-0.57,258549
88260,이리츠코크렙,4480,-5,-0.11,283770
334890,이지스밸류플러스리츠,4320,-10,-0.23,222236
350520,이지스레지던스리츠,3960,-5,-0.13,145990
377190,디앤디플랫폼리츠,3220,-10,-0.31,284648
400760,NH올원리츠,3180,40,1.27,139182
404990,신한서부티엔디리츠,3430,-10,-0.29,195528
417310,코람코더원리츠,5760,-20,-0.35,232704
20,동화약품,6180,-50,-0.8,172616
50,경방,6980,-220,-3.06,191359
140,하이트진로홀딩스,10050,-50,-0.5,233228
300,DH오토넥스,1984,0,0,162944
390,삼화페인트,6030,0,0,164037
430,대원강업,3980,-50,-1.24,246760
480,CR홀딩스,4995,-15,-0.3,234218
490,대동,9660,-240,-2.42,254953
520,삼일제약,9650,-280,-2.82,209326
540,흥국화재,4090,-90,-2.15,262752
680,LS네트웍스,3995,-65,-1.6,314818
700,유수홀딩스,5770,-10,-0.17,150261
860,강남제비스코,11480,-160,-1.37,149240
970,한국주철관,6770,40,0.59,154359
1020,페이퍼코리아,722,-6,-0.82,128504
1130,대한제분,141100,-1800,-1.26,238459
1200,유진투자증권,3390,-65,-1.88,328377
1230,동국홀딩스,7350,-130,-1.74,233734
1250,GS글로벌,2515,-30,-1.18,207572
1340,PKC,5800,-50,-0.85,260527
1360,삼성제약,1519,-43,-2.75,143032
1390,KG케미칼,4595,-165,-3.47,314615
1460,BYC,40050,-200,-0.5,250158
1510,SK증권,642,-8,-1.23,303403
1520,동양,621,-8,-1.27,148223
1630,종근당홀딩스,47550,-700,-1.45,238219
1750,한양증권,17270,-120,-0.69,219822
1780,알루코,2100,-70,-3.23,203343
1790,대한제당,2915,-35,-1.19,261466
1820,삼화콘덴서,25600,50,0.2,266112
1940,KISCO홀딩스,25400,-700,-2.68,360080
2100,경농,9570,-120,-1.24,186831
2150,도화엔지니어링,6460,-140,-2.12,217831
2170,삼양통상,54300,-500,-0.91,162900
2310,아세아제지,7810,-120,-1.51,325150
2320,한진,20500,200,0.99,312318
2390,한독,11750,-10,-0.09,161722
2620,제일파마홀딩스,8590,-230,-2.61,137211
2810,삼영무역,15640,-280,-1.76,288823
2900,TYM,5630,-180,-3.1,253637
2990,금호건설,3810,20,0.53,140958
3000,부광약품,3265,-60,-1.8,322140
3070,코오롱글로벌,8800,30,0.34,166608
